################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ICer
#     Report Created on: Sun Aug 24 19:53:36 2025
#     Working Directory: /home/ICer/Projects/Digital_System(RTL-to-GDSII)/spyglass/runs
#     Report Location  : ./spyglass-1/lint/lint_functional_rtl/spyglass_reports/auto-verify/Initialized_Sequential_Elements.csv
#     SpyGlass Version : SpyGlass_vL-2016.06
#     Policy Name      : auto-verify(SpyGlass_vL-2016.06)
#     Comment          : CSV File for Initialised Sequential Elements
#
################################################################################
#CrossProbeTag:AV_INITSTATE01_SS_SCH01
#RuleName:Av_initstate01
ID,Sequentail Element Name,Initial Value,Initialization phase,Clock Name,Reset Name
24,SYSTEM_TOP.U0_UART.U0_RX.stp_chk_inst.stp_err,0,After Primary Set/Reset,SYSTEM_TOP.UART_CLK,NULL
25,SYSTEM_TOP.U0_UART.U0_RX.samp_inst.sampled_bit,0,After Primary Set/Reset,SYSTEM_TOP.UART_CLK,NULL
26,SYSTEM_TOP.U0_UART.U0_RX.counter_inst.bit_cnt[3:0],0000,After Primary Set/Reset,SYSTEM_TOP.UART_CLK,NULL
27,SYSTEM_TOP.U0_UART.U0_RX.counter_inst.edge_cnt[5:0],000000,After Primary Set/Reset,SYSTEM_TOP.UART_CLK,NULL
28,SYSTEM_TOP.U0_UART.U0_TX.U0_PARITY_CALC.P_DATA_Valid[7:0],00000000,After Primary Set/Reset,SYSTEM_TOP.UART_CLK,NULL
29,SYSTEM_TOP.U0_UART.U0_TX.U0_FSM.cs[2:0],000,After Primary Set/Reset,SYSTEM_TOP.UART_CLK,NULL
30,SYSTEM_TOP.U0_UART.U0_TX.U0_SER.counter[2:0],000,After Primary Set/Reset,SYSTEM_TOP.UART_CLK,NULL
31,SYSTEM_TOP.U0_UART.U0_TX.U0_SER.P_DATA_Valid[7:0],00000000,After Primary Set/Reset,SYSTEM_TOP.UART_CLK,NULL
32,SYSTEM_TOP.U0_UART.U0_TX.U0_PARITY_CALC.par_bit,0,After Primary Set/Reset,SYSTEM_TOP.UART_CLK,NULL
33,SYSTEM_TOP.U0_UART.U0_TX.U0_MUX.TX_OUT,1,After Primary Set/Reset,SYSTEM_TOP.UART_CLK,NULL
34,SYSTEM_TOP.U0_REG_FILE.RdData[7:0],00000000,After Primary Set/Reset,SYSTEM_TOP.REF_CLK,NULL
35,SYSTEM_TOP.U0_UART.U0_TX.U0_FSM.busy,0,After Primary Set/Reset,SYSTEM_TOP.UART_CLK,NULL
36,SYSTEM_TOP.U0_UART.U0_RX.deser_inst.P_DATA[7:0],00000000,After Primary Set/Reset,SYSTEM_TOP.UART_CLK,NULL
37,SYSTEM_TOP.U0_DATA_SYNC.sync_bus[7:0],00000000,After Primary Set/Reset,SYSTEM_TOP.REF_CLK,NULL
38,SYSTEM_TOP.U0_DATA_SYNC.enable_pulse,0,After Primary Set/Reset,SYSTEM_TOP.REF_CLK,NULL
39,SYSTEM_TOP.U0_REG_FILE.RdData_Valid,0,After Primary Set/Reset,SYSTEM_TOP.REF_CLK,NULL
40,SYSTEM_TOP.U0_ALU.ALU_OUT[15:0],0000000000000000,After Primary Set/Reset,SYSTEM_TOP.REF_CLK,NULL
41,SYSTEM_TOP.U0_ALU.OUT_VALID,0,After Primary Set/Reset,SYSTEM_TOP.REF_CLK,NULL
42,SYSTEM_TOP.U0_CLK_GATE.Latch,0,After Clock Simulation,NULL,NULL
